,X1,X2,X3,X4,X5,X8,X9,X10,X11,X12
2017-01-01 00:00:00,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999,-0.06118199999999999
2017-01-01 00:30:00,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995,-0.059226749999999995
2017-01-01 01:00:00,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996,-0.057271499999999996
2017-01-01 01:30:00,-0.05280165,-0.05280165,-0.05280165,-0.05280165,-0.05280165,-0.05280165,-0.05280165,-0.05280165,-0.05280165,-0.05280165
2017-01-01 02:00:00,-0.0483318,-0.0483318,-0.0483318,-0.0483318,-0.0483318,-0.0483318,-0.0483318,-0.0483318,-0.0483318,-0.0483318
2017-01-01 02:30:00,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999,-0.04365404999999999
2017-01-01 03:00:00,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999,-0.03897629999999999
2017-01-01 03:30:00,-0.03742695,-0.03742695,-0.03742695,-0.03742695,-0.03742695,-0.03742695,-0.03742695,-0.03742695,-0.03742695,-0.03742695
2017-01-01 04:00:00,-0.0358776,-0.0358776,-0.0358776,-0.0358776,-0.0358776,-0.0358776,-0.0358776,-0.0358776,-0.0358776,-0.0358776
2017-01-01 04:30:00,-0.03484305,-0.03484305,-0.03484305,-0.03484305,-0.03484305,-0.03484305,-0.03484305,-0.03484305,-0.03484305,-0.03484305
2017-01-01 05:00:00,-0.0338085,-0.0338085,-0.0338085,-0.0338085,-0.0338085,-0.0338085,-0.0338085,-0.0338085,-0.0338085,-0.0338085
2017-01-01 05:30:00,-0.0307692,-0.0307692,-0.0307692,-0.0307692,-0.0307692,-0.0307692,-0.0307692,-0.0307692,-0.0307692,-0.0307692
2017-01-01 06:00:00,-0.0277299,-0.0277299,-0.0277299,-0.0277299,-0.0277299,-0.0277299,-0.0277299,-0.0277299,-0.0277299,-0.0277299
2017-01-01 06:30:00,-0.02872485,-0.02872485,-0.02872485,-0.02872485,-0.02872485,-0.02872485,-0.02872485,-0.02872485,-0.02872485,-0.02872485
2017-01-01 07:00:00,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998,-0.029719799999999998
2017-01-01 07:30:00,-0.0306702,-0.0306702,-0.0306702,-0.0306702,-0.0306702,-0.0306702,-0.0306702,-0.0306702,-0.0306702,-0.0306702
2017-01-01 08:00:00,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006,-0.031620600000000006
2017-01-01 08:30:00,-0.0343827,-0.0343827,-0.0343827,-0.0343827,-0.0343827,-0.0343827,-0.0343827,-0.0343827,-0.0343827,-0.0343827
2017-01-01 09:00:00,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006,-0.037144800000000006
2017-01-01 09:30:00,-0.0406494,-0.0406494,-0.0406494,-0.0406494,-0.0406494,-0.0406494,-0.0406494,-0.0406494,-0.0406494,-0.0406494
2017-01-01 10:00:00,-0.044154,-0.044154,-0.044154,-0.044154,-0.044154,-0.044154,-0.044154,-0.044154,-0.044154,-0.044154
2017-01-01 10:30:00,-0.04694085,-0.04694085,-0.04694085,-0.04694085,-0.04694085,-0.04694085,-0.04694085,-0.04694085,-0.04694085,-0.04694085
2017-01-01 11:00:00,-0.0497277,-0.0497277,-0.0497277,-0.0497277,-0.0497277,-0.0497277,-0.0497277,-0.0497277,-0.0497277,-0.0497277
2017-01-01 11:30:00,-0.0501138,-0.0501138,-0.0501138,-0.0501138,-0.0501138,-0.0501138,-0.0501138,-0.0501138,-0.0501138,-0.0501138
2017-01-01 12:00:00,-0.0504999,-0.0504999,-0.0504999,-0.0504999,-0.0504999,-0.0504999,-0.0504999,-0.0504999,-0.0504999,-0.0504999
2017-01-01 12:30:00,-0.04916835,-0.04916835,-0.04916835,-0.04916835,-0.04916835,-0.04916835,-0.04916835,-0.04916835,-0.04916835,-0.04916835
2017-01-01 13:00:00,-0.0478368,-0.0478368,-0.0478368,-0.0478368,-0.0478368,-0.0478368,-0.0478368,-0.0478368,-0.0478368,-0.0478368
2017-01-01 13:30:00,-0.04587165,-0.04587165,-0.04587165,-0.04587165,-0.04587165,-0.04587165,-0.04587165,-0.04587165,-0.04587165,-0.04587165
2017-01-01 14:00:00,-0.0439065,-0.0439065,-0.0439065,-0.0439065,-0.0439065,-0.0439065,-0.0439065,-0.0439065,-0.0439065,-0.0439065
2017-01-01 14:30:00,-0.0453519,-0.0453519,-0.0453519,-0.0453519,-0.0453519,-0.0453519,-0.0453519,-0.0453519,-0.0453519,-0.0453519
2017-01-01 15:00:00,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001,-0.04679730000000001
2017-01-01 15:30:00,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335,-0.0511335
2017-01-01 16:00:00,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004,-0.055469700000000004
2017-01-01 16:30:00,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961,-0.0587961
2017-01-01 17:00:00,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225,-0.0621225
2017-01-01 17:30:00,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001,-0.06213240000000001
2017-01-01 18:00:00,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004,-0.062142300000000004
2017-01-01 18:30:00,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575,-0.06130575
2017-01-01 19:00:00,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994,-0.060469199999999994
2017-01-01 19:30:00,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593,-0.0604593
2017-01-01 20:00:00,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494,-0.0604494
2017-01-01 20:30:00,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536,-0.0580536
2017-01-01 21:00:00,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578,-0.0556578
2017-01-01 21:30:00,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084,-0.0546084
2017-01-01 22:00:00,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559,-0.053559
2017-01-01 22:30:00,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659,-0.0538659
2017-01-01 23:00:00,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728,-0.0541728
2017-01-01 23:30:00,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665,-0.04933665
2017-01-02 00:00:00,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005,-0.044500500000000005
2017-01-02 00:30:00,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739,-0.0431739
2017-01-02 01:00:00,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004,-0.041847300000000004
2017-01-02 01:30:00,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997,-0.041084999999999997
2017-01-02 02:00:00,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996,-0.040322699999999996
2017-01-02 02:30:00,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245,-0.03886245
