,X1,X2,X3
2017-01-01 00:00:00,-5823.47948,-3144.6789192,-1630.5742544000002
2017-01-01 00:30:00,-5816.770402258065,-3141.056017219355,-1628.6957126322582
2017-01-01 01:00:00,-5810.061324516129,-3137.43311523871,-1626.8171708645164
2017-01-01 01:30:00,-5803.352246774194,-3133.8102132580652,-1624.9386290967745
2017-01-01 02:00:00,-5796.643169032259,-3130.18731127742,-1623.0600873290325
2017-01-01 02:30:00,-5789.934091290323,-3126.5644092967746,-1621.1815455612905
2017-01-01 03:00:00,-5783.225013548387,-3122.9415073161294,-1619.3030037935487
2017-01-01 03:30:00,-5776.515935806452,-3119.3186053354843,-1617.4244620258066
2017-01-01 04:00:00,-5769.806858064517,-3115.695703354839,-1615.5459202580648
2017-01-01 04:30:00,-5763.0977803225815,-3112.072801374194,-1613.667378490323
2017-01-01 05:00:00,-5756.388702580646,-3108.449899393549,-1611.788836722581
2017-01-01 05:30:00,-5749.67962483871,-3104.8269974129034,-1609.910294954839
2017-01-01 06:00:00,-5742.970547096775,-3101.2040954322583,-1608.0317531870971
2017-01-01 06:30:00,-5736.2614693548385,-3097.5811934516128,-1606.1532114193549
2017-01-01 07:00:00,-5729.552391612903,-3093.958291470968,-1604.274669651613
2017-01-01 07:30:00,-5722.843313870968,-3090.335389490323,-1602.3961278838713
2017-01-01 08:00:00,-5716.134236129033,-3086.712487509678,-1600.5175861161292
2017-01-01 08:30:00,-5709.425158387097,-3083.089585529033,-1598.6390443483874
2017-01-01 09:00:00,-5702.716080645162,-3079.4666835483877,-1596.7605025806456
2017-01-01 09:30:00,-5696.007002903226,-3075.843781567742,-1594.8819608129033
2017-01-01 10:00:00,-5689.297925161291,-3072.220879587097,-1593.0034190451615
2017-01-01 10:30:00,-5682.588847419354,-3068.5979776064514,-1591.1248772774193
2017-01-01 11:00:00,-5675.879769677419,-3064.9750756258063,-1589.2463355096775
2017-01-01 11:30:00,-5669.170691935484,-3061.3521736451617,-1587.3677937419357
2017-01-01 12:00:00,-5662.4616141935485,-3057.7292716645165,-1585.4892519741936
2017-01-01 12:30:00,-5655.752536451613,-3054.1063696838714,-1583.6107102064518
2017-01-01 13:00:00,-5649.043458709678,-3050.4834677032263,-1581.73216843871
2017-01-01 13:30:00,-5642.334380967743,-3046.860565722581,-1579.8536266709682
2017-01-01 14:00:00,-5635.625303225807,-3043.237663741936,-1577.9750849032262
2017-01-01 14:30:00,-5628.916225483871,-3039.6147617612905,-1576.0965431354841
2017-01-01 15:00:00,-5622.207147741936,-3035.9918597806454,-1574.218001367742
2017-01-01 15:30:00,-5615.498070000001,-3032.3689578000003,-1572.3394596000003
2017-01-01 16:00:00,-5608.788992258065,-3028.7460558193557,-1570.4609178322585
2017-01-01 16:30:00,-5602.07991451613,-3025.1231538387106,-1568.5823760645164
2017-01-01 17:00:00,-5595.370836774194,-3021.500251858065,-1566.7038342967744
2017-01-01 17:30:00,-5588.6617590322585,-3017.87734987742,-1564.8252925290326
2017-01-01 18:00:00,-5581.952681290323,-3014.2544478967748,-1562.9467507612906
2017-01-01 18:30:00,-5575.243603548387,-3010.631545916129,-1561.0682089935485
2017-01-01 19:00:00,-5568.534525806452,-3007.008643935484,-1559.1896672258067
2017-01-01 19:30:00,-5561.825448064516,-3003.385741954839,-1557.3111254580647
2017-01-01 20:00:00,-5555.116370322581,-2999.762839974194,-1555.4325836903229
2017-01-01 20:30:00,-5548.407292580646,-2996.1399379935488,-1553.554041922581
2017-01-01 21:00:00,-5541.69821483871,-2992.517036012903,-1551.6755001548388
2017-01-01 21:30:00,-5534.989137096774,-2988.8941340322585,-1549.796958387097
2017-01-01 22:00:00,-5528.280059354838,-2985.271232051613,-1547.9184166193547
2017-01-01 22:30:00,-5521.570981612903,-2981.648330070968,-1546.039874851613
2017-01-01 23:00:00,-5514.861903870968,-2978.0254280903227,-1544.161333083871
2017-01-01 23:30:00,-5508.152826129032,-2974.4025261096776,-1542.282791316129
2017-01-02 00:00:00,-5501.443748387097,-2970.7796241290325,-1540.4042495483873
2017-01-02 00:30:00,-5494.734670645162,-2967.1567221483874,-1538.5257077806455
2017-01-02 01:00:00,-5488.025592903226,-2963.5338201677423,-1536.6471660129037
2017-01-02 01:30:00,-5481.316515161291,-2959.910918187097,-1534.7686242451616
2017-01-02 02:00:00,-5474.607437419355,-2956.288016206452,-1532.8900824774196
2017-01-02 02:30:00,-5467.89835967742,-2952.665114225807,-1531.0115407096775
2017-01-02 03:00:00,-5461.189281935484,-2949.042212245162,-1529.1329989419357
2017-01-02 03:30:00,-5454.480204193549,-2945.4193102645168,-1527.254457174194
2017-01-02 04:00:00,-5447.771126451614,-2941.7964082838716,-1525.375915406452
2017-01-02 04:30:00,-5441.0620487096785,-2938.1735063032265,-1523.49737363871
2017-01-02 05:00:00,-5434.352970967742,-2934.550604322581,-1521.618831870968
2017-01-02 05:30:00,-5427.643893225807,-2930.927702341936,-1519.740290103226
2017-01-02 06:00:00,-5420.934815483871,-2927.3048003612903,-1517.861748335484
2017-01-02 06:30:00,-5414.2257377419355,-2923.681898380645,-1515.9832065677422
2017-01-02 07:00:00,-5407.51666,-2920.0589964000005,-1514.1046648000001
2017-01-02 07:30:00,-4991.5538400000005,-2695.4390736000005,-1397.6350752000003
2017-01-02 08:00:00,-5407.51666,-2920.0589964000005,-1514.1046648000001
2017-01-02 08:30:00,-4991.5538400000005,-2695.4390736000005,-1397.6350752000003
2017-01-02 09:00:00,-5407.51666,-2920.0589964000005,-1514.1046648000001
2017-01-02 09:30:00,-4575.59102,-2470.8191508,-1281.1654856
2017-01-02 10:00:00,-4575.59102,-2470.8191508,-1281.1654856
2017-01-02 10:30:00,-4575.59102,-2470.8191508,-1281.1654856
2017-01-02 11:00:00,-4575.59102,-2470.8191508,-1281.1654856
2017-01-02 11:30:00,-4575.59102,-2470.8191508,-1281.1654856
2017-01-02 12:00:00,-4159.6282,-2246.1992280000004,-1164.6958960000002
2017-01-02 12:30:00,-4575.59102,-2470.8191508,-1281.1654856
2017-01-02 13:00:00,-4159.6282,-2246.1992280000004,-1164.6958960000002
2017-01-02 13:30:00,-4159.6282,-2246.1992280000004,-1164.6958960000002
2017-01-02 14:00:00,-4159.6282,-2246.1992280000004,-1164.6958960000002
2017-01-02 14:30:00,-4159.6282,-2246.1992280000004,-1164.6958960000002
2017-01-02 15:00:00,-4159.6282,-2246.1992280000004,-1164.6958960000002
2017-01-02 15:30:00,-4198.624714375001,-2267.2573457625003,-1175.6149200250002
2017-01-02 16:00:00,-4237.62122875,-2288.3154635250003,-1186.5339440500002
2017-01-02 16:30:00,-4276.617743125,-2309.3735812875,-1197.4529680750002
2017-01-02 17:00:00,-4315.6142575,-2330.43169905,-1208.3719921000002
2017-01-02 17:30:00,-4354.610771875,-2351.4898168125,-1219.2910161250002
2017-01-02 18:00:00,-4393.6072862500005,-2372.5479345750005,-1230.2100401500002
2017-01-02 18:30:00,-4432.603800625,-2393.6060523375004,-1241.1290641750002
2017-01-02 19:00:00,-4471.600315000001,-2414.6641701000003,-1252.0480882000004
2017-01-02 19:30:00,-4510.596829375,-2435.7222878625003,-1262.9671122250002
2017-01-02 20:00:00,-4549.59334375,-2456.780405625,-1273.8861362500002
2017-01-02 20:30:00,-4588.589858125,-2477.8385233875,-1284.8051602750002
2017-01-02 21:00:00,-4627.5863725,-2498.89664115,-1295.7241843000002
2017-01-02 21:30:00,-4666.582886875,-2519.9547589125004,-1306.6432083250002
2017-01-02 22:00:00,-4705.57940125,-2541.0128766750004,-1317.5622323500002
2017-01-02 22:30:00,-4744.575915625001,-2562.0709944375003,-1328.4812563750004
2017-01-02 23:00:00,-4783.57243,-2583.1291122000002,-1339.4002804000002
2017-01-02 23:30:00,-4822.568944375001,-2604.1872299625006,-1350.3193044250004
2017-01-03 00:00:00,-4861.56545875,-2625.245347725,-1361.2383284500002
2017-01-03 00:30:00,-4900.561973125,-2646.3034654875,-1372.1573524750002
2017-01-03 01:00:00,-4939.5584875,-2667.3615832500004,-1383.0763765000002
2017-01-03 01:30:00,-4978.555001875,-2688.4197010125004,-1393.9954005250002
2017-01-03 02:00:00,-5017.5515162500005,-2709.4778187750003,-1404.9144245500004
2017-01-03 02:30:00,-5056.548030625,-2730.5359365375,-1415.8334485750001
2017-01-03 03:00:00,-5095.544545000001,-2751.5940543000006,-1426.7524726000004
2017-01-03 03:30:00,-5134.541059375,-2772.6521720625005,-1437.6714966250001
