,X1,X2,X3
2017-01-01 00:00:00,-11640.249882258064,-6285.734936419355,-3259.269967032258
2017-01-01 01:00:00,-11613.413571290323,-6271.243328496776,-3251.755799961291
2017-01-01 02:00:00,-11586.577260322581,-6256.751720574195,-3244.2416328903228
2017-01-01 03:00:00,-11559.74094935484,-6242.260112651614,-3236.7274658193555
2017-01-01 04:00:00,-11532.9046383871,-6227.768504729033,-3229.213298748388
2017-01-01 05:00:00,-11506.068327419356,-6213.276896806452,-3221.69913167742
2017-01-01 06:00:00,-11479.232016451613,-6198.7852888838715,-3214.184964606452
2017-01-01 07:00:00,-11452.395705483872,-6184.293680961291,-3206.6707975354843
2017-01-01 08:00:00,-11425.55939451613,-6169.802073038711,-3199.1566304645166
2017-01-01 09:00:00,-11398.723083548388,-6155.31046511613,-3191.642463393549
2017-01-01 10:00:00,-11371.886772580645,-6140.818857193548,-3184.128296322581
2017-01-01 11:00:00,-11345.050461612904,-6126.3272492709675,-3176.614129251613
2017-01-01 12:00:00,-11318.214150645163,-6111.835641348388,-3169.0999621806454
2017-01-01 13:00:00,-11291.377839677421,-6097.3440334258075,-3161.585795109678
2017-01-01 14:00:00,-11264.541528709678,-6082.852425503226,-3154.0716280387105
2017-01-01 15:00:00,-11237.705217741935,-6068.360817580646,-3146.5574609677424
2017-01-01 16:00:00,-11210.868906774194,-6053.869209658066,-3139.043293896775
2017-01-01 17:00:00,-11184.032595806453,-6039.377601735485,-3131.529126825807
2017-01-01 18:00:00,-11157.19628483871,-6024.885993812904,-3124.014959754839
2017-01-01 19:00:00,-11130.359973870967,-6010.394385890323,-3116.5007926838716
2017-01-01 20:00:00,-11103.523662903226,-5995.902777967743,-3108.986625612904
2017-01-01 21:00:00,-11076.687351935485,-5981.411170045161,-3101.472458541936
2017-01-01 22:00:00,-11049.85104096774,-5966.919562122581,-3093.9582914709677
2017-01-01 23:00:00,-11023.014729999999,-5952.4279542,-3086.4441244
2017-01-02 00:00:00,-10996.178419032258,-5937.93634627742,-3078.9299573290327
2017-01-02 01:00:00,-10969.342108064517,-5923.4447383548395,-3071.4157902580655
2017-01-02 02:00:00,-10942.505797096775,-5908.953130432259,-3063.9016231870974
2017-01-02 03:00:00,-10915.669486129034,-5894.461522509679,-3056.3874561161297
2017-01-02 04:00:00,-10888.833175161293,-5879.969914587098,-3048.873289045162
2017-01-02 05:00:00,-10861.996864193548,-5865.478306664517,-3041.359121974194
2017-01-02 06:00:00,-10835.160553225807,-5850.9866987419355,-3033.844954903226
2017-01-02 07:00:00,-10399.070500000002,-5615.4980700000015,-2911.7397400000004
2017-01-02 08:00:00,-10399.070500000002,-5615.4980700000015,-2911.7397400000004
2017-01-02 09:00:00,-9983.107680000001,-5390.878147200001,-2795.2701504
2017-01-02 10:00:00,-9151.18204,-4941.6383016,-2562.3309712
2017-01-02 11:00:00,-9151.18204,-4941.6383016,-2562.3309712
2017-01-02 12:00:00,-8735.219219999999,-4717.0183788,-2445.8613816
2017-01-02 13:00:00,-8319.2564,-4492.398456000001,-2329.3917920000004
