,X1,X2,X3,X4,X5
2017-01-01 00:00:00,-726.0114699421574,-1487.9203727133406,-382.0903395009601,-3908.8603258255093,-2720.986004637287
2017-01-01 00:30:00,-580.6490432365479,-1354.5650151865943,-329.9959667372598,-3660.2216898312145,-2565.1702241908483
2017-01-01 01:00:00,-380.60646384048005,-1272.4002704664822,-258.3586874818116,-3319.216580187941,-2468.726709569814
2017-01-01 01:30:00,-425.99596833430775,-1213.2147625971227,-274.4398221211979,-3392.7987566767765,-2398.9351392011636
2017-01-01 02:00:00,-203.78958992621898,-1078.659916137517,-194.8811119574312,-3014.3542497993026,-2241.7281588477153
2017-01-01 02:30:00,-213.40482803485327,-981.7489348118879,-198.1763799088736,-3027.5060384637886,-2128.1815577101306
2017-01-01 03:00:00,-95.05038560118706,-909.0165883933146,-155.7347693483971,-2824.489664749691,-2042.6779953308376
2017-01-01 03:30:00,-84.4794827390194,-922.0243873983471,-151.8154293294704,-2803.54274362072,-2056.6181869309758
2017-01-01 04:00:00,-171.62764437817412,-942.8400372899994,-182.82127598332005,-2947.6642239528496,-2079.614136470886
2017-01-01 04:30:00,-122.54161302783962,-812.6611468370608,-165.13647413727094,-2861.65701265374,-1927.4825089804608
2017-01-01 05:00:00,-102.49487923194734,-756.7755187091145,-157.8304340314282,-2824.7033862546386,-1861.5182289382458
2017-01-01 05:30:00,-86.5004371521807,-941.3642207305918,-151.97269928299744,-2794.5949473248393,-2074.4626212291623
2017-01-01 06:00:00,-221.38560066105305,-991.2435815382639,-200.03994240033833,-3019.354434471629,-2131.1674536241544
2017-01-01 06:30:00,-318.991735033763,-1086.831349260855,-234.78351057047703,-3181.141667648009,-2240.8861402595603
2017-01-01 07:00:00,-441.1163318647264,-1383.3074652464454,-278.2900758349274,-3384.3458282675815,-2583.600600150323
2017-01-01 07:30:00,-769.4086303898,-1646.8168042186578,-395.4818068785342,-3935.8113350761087,-2888.0792949089387
2017-01-01 08:00:00,-890.9742994444712,-1844.0748968823266,-438.78860910776564,-4138.071347130243,-3115.7179912492234
2017-01-01 08:30:00,-1077.6394136314564,-1900.789748521579,-505.36221485320743,-4450.298246391432,-3180.350811930519
2017-01-01 09:00:00,-1138.231715512491,-2053.808368059398,-526.8768904234876,-4549.561199453904,-3356.679363414255
2017-01-01 09:30:00,-1268.0583215528375,-2173.1587731111904,-573.1361847563736,-4765.775701041428,-3493.958603496273
2017-01-01 10:00:00,-1320.1277959287586,-1961.1377418723773,-591.604767498044,-4850.641775466379,-3246.9042338848653
2017-01-01 10:30:00,-1293.4883783896269,-2004.1862199599896,-581.9424757070067,-4802.55169608968,-3295.686422606699
2017-01-01 11:00:00,-1224.5563168923215,-1962.7070438174824,-557.1646228669292,-4683.0202949262175,-3246.4311376318287
2017-01-01 11:30:00,-1361.4905021136578,-2095.367796822318,-605.9641945853429,-4911.241018018742,-3399.148081495237
2017-01-01 12:00:00,-1344.3124686165365,-2026.2143019360205,-599.6834395040163,-4879.133240021952,-3317.795368517309
2017-01-01 12:30:00,-1287.181264416866,-2142.65787420287,-579.1232605244282,-4779.536010966376,-3451.703184829317
2017-01-01 13:00:00,-1391.4933101742174,-2199.4506225541177,-616.2635483941963,-4952.650962825405,-3516.426352237052
2017-01-01 13:30:00,-1316.1242759964766,-2256.8425361151085,-589.1850956290276,-4822.246137975064,-3581.844447760623
2017-01-01 14:00:00,-1353.5941350358628,-2134.6682239422216,-602.4357171306749,-4882.450339326964,-3438.996747994578
2017-01-01 14:30:00,-1274.8919372433757,-2192.1668229300844,-574.1659782838188,-4746.415088187727,-3504.538580179553
2017-01-01 15:00:00,-1158.882348713774,-1949.6875520775488,-532.5624279395114,-4547.359674267698,-3222.1579153790117
2017-01-01 15:30:00,-1328.7423297530422,-2055.1174649595932,-593.1298115087582,-4831.199109125797,-3343.291789812746
2017-01-01 16:00:00,-1237.1747728292207,-1889.397038409062,-560.2619415646923,-4673.431514591049,-3149.9381215352655
2017-01-01 16:30:00,-1252.9678035045265,-1925.7470394215873,-565.7651774261609,-4697.018916293203,-3190.9512342542444
2017-01-01 17:00:00,-1197.9528228975937,-2113.1370528134457,-545.9613452699373,-4600.996441533222,-3407.1446637069207
2017-01-01 17:30:00,-1282.585679507099,-2111.9366176083718,-576.0682117897899,-4740.869033661703,-3404.605758609808
2017-01-01 18:00:00,-1428.974509353344,-2401.8185254996147,-628.2469115231386,-4985.060673817145,-3739.672076499135
2017-01-01 18:30:00,-1613.7851333807002,-2275.318017222748,-694.157715026885,-5294.154942534462,-3591.8067367593594
2017-01-01 19:00:00,-1553.4506519629306,-2482.1825325652007,-672.4526718861663,-5189.146693095846,-3830.587223549983
2017-01-01 19:30:00,-1588.6122820074213,-2330.5373052270015,-684.8783230614845,-5245.45180195911,-3653.558354358942
2017-01-01 20:00:00,-1555.5756268779103,-2382.3177306369057,-672.9296328263509,-5186.55541996172,-3712.468093214838
2017-01-01 20:30:00,-1490.0093541849433,-2339.331319512302,-649.3547264419377,-5072.709556010704,-3661.464676090107
2017-01-01 21:00:00,-1504.454808690397,-2537.703226572571,-654.3763331604367,-5094.020613323581,-3890.3952046787153
2017-01-01 21:30:00,-1547.6404397611354,-2475.2379403607924,-669.669794574569,-5163.879976205588,-3816.7996581332204
2017-01-01 22:00:00,-1487.277212568076,-2039.419341877716,-647.9544775781483,-5058.823169003959,-3310.1787796445587
2017-01-01 22:30:00,-1196.4773246129212,-1781.2665359012058,-543.8801712234284,-4564.509552763618,-3009.6195222704227
2017-01-01 23:00:00,-787.2518440004536,-1710.2450719155065,-397.4800817526126,-3870.149780005256,-2926.100287896428
2017-01-01 23:30:00,-871.1214695262413,-1611.1760985841554,-427.3141664134761,-4008.733111582813,-2810.050788903396
2017-01-02 00:00:00,-950.1986359773584,-1706.1135541293693,-455.43540692608127,-4139.220954705168,-2919.0152257779987
2017-01-02 00:30:00,-574.2341430738646,-1457.193380777321,-320.9229282360774,-3501.046104511873,-2629.164226976943
2017-01-02 01:00:00,-421.030240892198,-1246.8877357187318,-266.0259805993043,-3239.1615391942055,-2384.0994089395763
2017-01-02 01:30:00,-415.51256472162777,-1295.5240711563465,-263.91268412371846,-3226.750598802047,-2439.362546682903
2017-01-02 02:00:00,-404.60980332733976,-1053.961365195382,-259.87473653070094,-3205.2430976298015,-2158.044938786841
2017-01-02 02:30:00,-237.6799603715416,-1029.6685555965637,-200.07208245637264,-2920.172482448702,-2128.7228694360765
2017-01-02 03:00:00,-311.8946096942039,-1065.1971975070662,-226.45543979052542,-3042.4464940780185,-2168.7833475162083
2017-01-02 03:30:00,-245.69106593997225,-922.8986107526188,-202.65277016575234,-2927.5241429960915,-2002.5949664320249
2017-01-02 04:00:00,-222.7095736153719,-995.0533757169354,-194.29783555833308,-2885.613081714858,-2085.135418766797
