,X1,X2,X3,X4,X5
2017-01-01 00:00:00,-1306.6605131787053,-2842.4853878999347,-712.0863062382199,-7569.082015656724,-5286.156228828135
2017-01-01 01:00:00,-806.6024321747877,-2485.6150330636046,-532.7985096030095,-6712.015336864717,-4867.6618487709775
2017-01-01 02:00:00,-417.19441796107225,-2060.408850949405,-393.05749186630476,-6041.860288263091,-4369.909716557846
2017-01-01 03:00:00,-179.52986834020646,-1831.0409757916618,-307.55019867786746,-5628.032408370411,-4099.296182261814
2017-01-01 04:00:00,-294.16925740601374,-1755.5011841270602,-347.95775012059096,-5809.321236606589,-4007.096645451347
2017-01-01 05:00:00,-188.99531638412805,-1698.1397394397063,-309.8031333144256,-5619.298333579478,-3935.980850167408
2017-01-01 06:00:00,-540.3773356948161,-2078.074930799119,-434.82345297081537,-6200.496102119638,-4372.053593883715
2017-01-01 07:00:00,-1210.5249622545264,-3030.124269465103,-673.7718827134615,-7320.157163343691,-5471.679895059262
2017-01-01 08:00:00,-1968.6137130759275,-3744.8646454039053,-944.1508239609731,-8588.369593521675,-6296.068803179742
2017-01-01 09:00:00,-2406.2900370653288,-4226.967141170589,-1100.013075179861,-9315.336900495331,-6850.637966910528
2017-01-01 10:00:00,-2613.6161743183857,-3965.323961832367,-1173.5472432050506,-9653.19347155606,-6542.590656491564
2017-01-01 11:00:00,-2586.046819005979,-4058.0748406398,-1163.128817452272,-9594.26131294496,-6645.579219127066
2017-01-01 12:00:00,-2631.4937330334023,-4168.872176138891,-1178.8067000284445,-9658.669250988329,-6769.498553346626
2017-01-01 13:00:00,-2707.6175861706943,-4456.293158669227,-1205.448644023224,-9774.89710080047,-7098.270799997676
2017-01-01 14:00:00,-2628.486072279238,-4326.835046872306,-1176.6016954144939,-9628.865427514691,-6943.535328174131
2017-01-01 15:00:00,-2487.6246784668165,-4004.805017037142,-1125.6922394482694,-9378.558783393495,-6565.449705191758
2017-01-01 16:00:00,-2490.1425763337475,-3815.144077830649,-1126.027118990853,-9370.450430884252,-6340.88935578951
2017-01-01 17:00:00,-2480.5385024046927,-4225.073670421818,-1122.0295570597273,-9341.865475194925,-6811.750422316729
2017-01-01 18:00:00,-3042.759642734044,-4677.136542722363,-1322.4046265500235,-10279.215616351607,-7331.4788132584945
2017-01-01 19:00:00,-3142.062933970352,-4812.719837792202,-1357.3309949476507,-10434.598495054955,-7484.145577908925
2017-01-01 20:00:00,-3045.5849810628533,-4721.649050149208,-1322.2843592682887,-10259.264975972423,-7373.932769304945
2017-01-01 21:00:00,-3052.0952484515324,-5012.941166933364,-1324.0461277350057,-10257.900589529168,-7707.194862811935
2017-01-01 22:00:00,-2683.7545371809974,-3820.685877778922,-1191.8346488015768,-9623.332721767576,-6319.7983019149815
2017-01-01 23:00:00,-1658.3733135266948,-3321.421170499662,-824.7942481660887,-7878.8828915880695,-5736.151076799824
2017-01-02 00:00:00,-1524.432779051223,-3163.30693490669,-776.3583351621587,-7640.267059217042,-5548.179452754942
2017-01-02 01:00:00,-836.5428056138257,-2542.4118068750786,-529.9386647230228,-6465.912137996253,-4823.461955622479
2017-01-02 02:00:00,-642.2897636988814,-2083.6299207919456,-459.9468189870736,-6125.415580078503,-4286.767808222918
2017-01-02 03:00:00,-557.5856756341761,-1988.0958082596849,-429.10820995627773,-5969.97063707411,-4171.378313948233
2017-01-02 04:00:00,-408.4587597675151,-1876.6900952819005,-375.24462316445374,-5705.701758258002,-4037.5805055499077
