,X1
2017-01-01 00:00:00,-9225.868512619254
2017-01-01 00:30:00,-8490.601939182465
2017-01-01 01:00:00,-7699.308711546528
2017-01-01 01:30:00,-7705.384448930568
2017-01-01 02:00:00,-6733.413026668185
2017-01-01 02:30:00,-6549.017738929534
2017-01-01 03:00:00,-6026.969403423427
2017-01-01 03:30:00,-6018.480230018533
2017-01-01 04:00:00,-6324.567318075229
2017-01-01 04:30:00,-5889.478755636372
2017-01-01 05:00:00,-5703.322447165375
2017-01-01 05:30:00,-6048.894925719771
2017-01-01 06:00:00,-6563.191012695438
2017-01-01 06:30:00,-7062.6344027726645
2017-01-01 07:00:00,-8070.660301364003
2017-01-01 07:30:00,-9635.59787147204
2017-01-01 08:00:00,-10427.62714381403
2017-01-01 08:30:00,-11114.440435328193
2017-01-01 09:00:00,-11625.157536863535
2017-01-01 09:30:00,-12274.087583958102
2017-01-01 10:00:00,-11970.416314650423
2017-01-01 10:30:00,-11977.855192753002
2017-01-01 11:00:00,-11673.87941613478
2017-01-01 11:30:00,-12373.211593035297
2017-01-01 12:00:00,-12167.138818595835
2017-01-01 12:30:00,-12240.201594939857
2017-01-01 13:00:00,-12676.284796184991
2017-01-01 13:30:00,-12566.242493476298
2017-01-01 14:00:00,-12412.145163430301
2017-01-01 14:30:00,-12292.178406824558
2017-01-01 15:00:00,-11410.649918377545
2017-01-01 15:30:00,-12151.480505159936
2017-01-01 16:00:00,-11510.20338892929
2017-01-01 16:30:00,-11632.450170899721
2017-01-01 17:00:00,-11865.19232622112
2017-01-01 17:30:00,-12116.065301176772
2017-01-01 18:00:00,-13183.772696692378
2017-01-01 18:30:00,-13469.222544924154
2017-01-01 19:00:00,-13727.819773060126
2017-01-01 19:30:00,-13503.038066613959
2017-01-01 20:00:00,-13509.846503517725
2017-01-01 20:30:00,-13212.869632239994
2017-01-01 21:00:00,-13680.9501864257
2017-01-01 21:30:00,-13673.227809035305
2017-01-01 22:00:00,-12543.65298067246
2017-01-01 22:30:00,-11095.753106771595
2017-01-01 23:00:00,-9691.227065570256
2017-01-01 23:30:00,-9728.395635010082
2017-01-02 00:00:00,-10169.983777515976
2017-01-02 00:30:00,-8482.56078357608
2017-01-02 01:00:00,-7557.204905344016
2017-01-02 01:30:00,-7641.062465486642
2017-01-02 02:00:00,-7081.7339414700655
2017-01-02 02:30:00,-6516.315950309257
2017-01-02 03:00:00,-6814.777088586023
2017-01-02 03:30:00,-6301.36155628646
2017-01-02 04:00:00,-6382.809285372296
2017-01-02 04:30:00,-6020.8664566494845
2017-01-02 05:00:00,-5732.9123479377095
2017-01-02 05:30:00,-6546.692763180483
2017-01-02 06:00:00,-6747.173369315519
2017-01-02 06:30:00,-7547.68205183946
2017-01-02 07:00:00,-8213.436755145243
2017-01-02 07:30:00,-10060.128154376374
2017-01-02 08:00:00,-10170.69525195279
