,X1,X2,X3
2017-01-01 00:00:00,0.0,0.0,0.0
2017-01-01 01:00:00,0.0,0.0,0.0
2017-01-01 02:00:00,0.0,0.0,0.0
2017-01-01 03:00:00,0.0,0.0,0.0
2017-01-01 04:00:00,0.0,0.0,0.0
2017-01-01 05:00:00,0.0,0.0,0.0
2017-01-01 06:00:00,0.0,0.0,0.0
2017-01-01 07:00:00,0.22,0.21,0.037
2017-01-01 08:00:00,0.414,0.394,0.383
2017-01-01 09:00:00,0.537,0.509,0.363
2017-01-01 10:00:00,0.58,0.549,0.272
2017-01-01 11:00:00,0.507,0.452,0.492
2017-01-01 12:00:00,0.448,0.421,0.444
2017-01-01 13:00:00,0.276,0.256,0.28
2017-01-01 14:00:00,0.053,0.005,0.056
2017-01-01 15:00:00,0.0,0.0,0.0
2017-01-01 16:00:00,0.0,0.0,0.0
2017-01-01 17:00:00,0.0,0.0,0.0
2017-01-01 18:00:00,0.0,0.0,0.0
2017-01-01 19:00:00,0.0,0.0,0.0
2017-01-01 20:00:00,0.0,0.0,0.0
2017-01-01 21:00:00,0.0,0.0,0.0
2017-01-01 22:00:00,0.0,0.0,0.0
2017-01-01 23:00:00,0.0,0.0,0.0
2017-01-02 00:00:00,0.0,0.0,0.0
2017-01-02 01:00:00,0.0,0.0,0.0
2017-01-02 02:00:00,0.0,0.0,0.0
2017-01-02 03:00:00,0.0,0.0,0.0
2017-01-02 04:00:00,0.0,0.0,0.0
2017-01-02 05:00:00,0.0,0.0,0.0
2017-01-02 06:00:00,0.0,0.0,0.0
2017-01-02 07:00:00,0.207,0.199,0.036
2017-01-02 08:00:00,0.391,0.375,0.37
2017-01-02 09:00:00,0.463,0.483,0.412
2017-01-02 10:00:00,0.51,0.444,0.534
2017-01-02 11:00:00,0.525,0.498,0.516
2017-01-02 12:00:00,0.432,0.406,0.376
2017-01-02 13:00:00,0.271,0.251,0.219
2017-01-02 14:00:00,0.056,0.01,0.119
2017-01-02 15:00:00,0.0,0.0,0.0
2017-01-02 16:00:00,0.0,0.0,0.0
2017-01-02 17:00:00,0.0,0.0,0.0
2017-01-02 18:00:00,0.0,0.0,0.0
2017-01-02 19:00:00,0.0,0.0,0.0
2017-01-02 20:00:00,0.0,0.0,0.0
